30.4954659520,30.4954659520.1,30.1115553980,30.1115553980.1,Residual,12019999.9907,MLUPs,56.6641612468
30.486601395999998,30.486601395999998,30.103463364,30.103463364,Residual,1999999.99988,MLUPs,56.6806374235
30.354391499000002,30.354391499000002,29.967942654,29.967942654,Residual,425925.925769,MLUPs,56.927512450900004
30.478786884,30.478786884,30.108796541,30.108796541,Residual,126543.20976199998,MLUPs,56.6951698759
30.497063851,30.497063851,30.113910701,30.113910701,Residual,51826.1316912,MLUPs,56.66119231810001
30.497223991,30.497223991,30.11420081,30.11420081,Residual,26702.1350987,MLUPs,56.6608947919
34.674571563,34.674571563,34.304408739,34.304408739,Residual,15893.998892200003,MLUPs,49.8347902255
31.195026092,31.195026092,30.811677701,30.811677701,Residual,10378.2429895,MLUPs,55.393446214899996
30.733968074,30.733968074,30.351038168000002,30.351038168000002,Residual,7222.26329851,MLUPs,56.2244353166
30.477800645,30.477800645,30.107866865,30.107866865,Residual,5266.18987139,MLUPs,56.697004489499996
