1.31744611500,1.31623278900,1.26540645100,1.27349258700,Residual,12019999.9905,MLUPs,1311.62859742
1.313306457,1.313304222,1.266241927,1.274187598,Residual,1999999.9999900002,MLUPs,1315.76296666
1.313250028,1.313248392,1.266177885,1.274043752,Residual,425925.925796,MLUPs,1315.81950364
1.309921428,1.309910532,1.262490922,1.270801792,Residual,126543.209847,MLUPs,1319.16309106
1.3097524409999999,1.309750433,1.262552483,1.270639418,Residual,51826.131686500004,MLUPs,1319.33329224
1.3102881659999999,1.310285377,1.2630911120000001,1.271157378,Residual,26702.135098299997,MLUPs,1318.79386904
1.307826634,1.307821817,1.26049103,1.2686619270000001,Residual,15893.9988843,MLUPs,1321.27604308
1.307556992,1.307553075,1.2602731040000001,1.268453222,Residual,10378.2429902,MLUPs,1321.54851419
1.308312726,1.308305034,1.2612226359999998,1.269099211,Residual,7222.2633036,MLUPs,1320.78513467
1.309132233,1.309129424,1.261781051,1.269981861,Residual,5266.18987001,MLUPs,1319.95833304
