0,1000,0.42,0.00
1.0,1000.0,0.41,2.46
2.0,1000.0,0.41,4.94
4.0,1000.0,0.41,9.84
8.0,1000.0,0.42,19.19
16.0,1000.0,0.41,39.16
32.0,1000.0,0.56,57.16
64.0,1000.0,0.57,111.89
128.0,1000.0,0.91,140.57
256.0,1000.0,0.97,263.37
512.0,1000.0,1.17,435.99
1024.0,1000.0,1.31,783.67
2048.0,1000.0,2.1,976.37
4096.0,1000.0,3.0,1366.53
8192.0,1000.0,4.82,1701.04
16384.0,1000.0,7.41,2210.27
32768.0,1000.0,12.93,2534.64
65536.0,640.0,23.63,2773.6
131072.0,320.0,44.39,2952.6
262144.0,160.0,13.17,19909.89
524288.0,80.0,23.02,22777.39
1048576.0,40.0,50.84,20626.39
2097152.0,20.0,139.08,15078.7
4194304.0,10.0,294.52,14240.98
,,,
